ST_NAME,YEAR,PC_NO,PC_NAME,PC_TYPE,CAND_NAME,CAND_SEX,PARTYNAME,PARTYABBRE,TOTVOTPOLL,ELECTORS
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,K Perumal,M,SWD,SWD,298,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,K Kalimuthu,M,IND,IND,387,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Asit Baran Dutta,M,IND,IND,523,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Gour Chandra Majumder,M,IND,IND,543,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Dr Shanmugam,M,LJNSP,LJNSP,691,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,A K Biswas,M,BSP,BSP,1122,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Deepak Biswas,M,IND,IND,1186,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,N K P Nair,M,CPI(ML)(L),CPI(ML)(L),1448,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,R S Uma Bharathy,F,NCP,NCP,2364,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Tapan Kumar Bepari,M,CPM,CPM,4175,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,M,BJP,BJP,55294,241645
Andaman & Nicobar Islands,2004,1,Andaman & Nicobar Islands,GEN,Manoranjan Bhakta,M,INC,INC,85794,241645
Andhra Pradesh,2004,1,Srikakulam,GEN,Tammineni Jaganmohan Rao,M,IND,IND,4982,958626
Andhra Pradesh,2004,1,Srikakulam,GEN,Mylapalli Lakshmudu,M,BSP,BSP,13011,958626
Andhra Pradesh,2004,1,Srikakulam,GEN,Dunga Rangarao Naidu,M,IND,IND,13848,958626
Andhra Pradesh,2004,1,Srikakulam,GEN,Killi Kruparani,F,INC,INC,330027,958626
Andhra Pradesh,2004,1,Srikakulam,GEN,Yerrannaidu Kinjarapu,M,TDP,TDP,361906,958626
Andhra Pradesh,2004,2,Parvathipuram,ST,Arika Gumpaswamy,M,IND,IND,10869,896336
Andhra Pradesh,2004,2,Parvathipuram,ST,Uooyaka Mutyalu,M,IND,IND,13896,896336
Andhra Pradesh,2004,2,Parvathipuram,ST,Dadichiluka Veera Gouri Sankara Rao,M,TDP,TDP,314370,896336
Andhra Pradesh,2004,2,Parvathipuram,ST,Kishore Chandra Suryanarayana Deo Vyricherla,M,INC,INC,321788,896336
Andhra Pradesh,2004,3,Bobbili,GEN,G.Venkatesh,M,TRS,TRS,14131,976012
Andhra Pradesh,2004,3,Bobbili,GEN,Peddinti Jaganmohan Rao,M,IND,IND,16098,976012
Andhra Pradesh,2004,3,Bobbili,GEN,Jhansi Botcha,F,INC,INC,342574,976012
Andhra Pradesh,2004,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,M,TDP,TDP,373922,976012
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Apparao Gudivada,M,IND,IND,1809,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Mamidi Somunaidu,M,RJD,RJD,2018,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,S.V.B.Reddy,M,IND,IND,2358,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Vamsi Kiran.B,M,PPOI,PPOI,2920,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Satyanarayana Machiraju,M,IND,IND,5602,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Mandem Subhash Chandra Bose Yadav,M,SP,SP,5685,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Bharanikana Rama Rao,M,IND,IND,11002,1515574
Andhra Pradesh,2004,4,Visakhapatnam,GEN,Kolaventi Sundara Rao,M,BSP,BSP,16673,1515574
